state,municipality,county,population,latitude,longitude
MO,Pacific city,Franklin County,7554,38.481401,-90.75069
MO,Pagedale city,St. Louis County,2506,38.680175,-90.308095
MO,Palmyra city,Marion County,3600,39.79778,-91.526515
MO,Paris city,Monroe County,1153,39.473001,-92.008452
MO,Park Hills city,St. Francois County,8759,37.816979,-90.499893
MO,Parkdale village,Jefferson County,155,38.480991,-90.527113
MO,Parkville city,Platte County,8859,39.214445,-94.70434
MO,Parkway village,Franklin County,650,38.335549,-90.968167
MO,Parma city,New Madrid County,519,36.611053,-89.818126
MO,Parnell city,Nodaway County,133,40.438359,-94.622256
MO,Pasadena Hills city,St. Louis County,883,38.70829,-90.292139
MO,Pasadena Park village,St. Louis County,426,38.710978,-90.297433
MO,Pascola village,Pemiscot County,83,36.267263,-89.825805
MO,Passaic town,Bates County,26,38.321631,-94.348985
MO,Pattonsburg city,Daviess County,339,40.068764,-94.10881
MO,Paynesville village,Pike County,61,39.262477,-90.900295
MO,Peaceful Village village,Jefferson County,97,38.466959,-90.542796
MO,Peculiar city,Cass County,6101,38.730826,-94.468597
MO,Pendleton village,Warren County,37,38.834894,-91.229488
MO,Penermon village,Stoddard County,49,36.790958,-89.830082
MO,Perry city,Ralls County,684,39.433605,-91.662343
MO,Perryville city,Perry County,8506,37.72633,-89.876493
MO,Pevely city,Jefferson County,6064,38.288089,-90.400038
MO,Phillipsburg village,Laclede County,166,37.552588,-92.789458
MO,Pickering city,Nodaway County,145,40.450224,-94.84189
MO,Piedmont city,Wayne County,1861,37.150372,-90.695747
MO,Pierce City city,Lawrence County,1265,36.946883,-94.003511
MO,Pierpont village,Boone County,66,38.863179,-92.312991
MO,Pilot Grove city,Cooper County,678,38.873621,-92.912608
MO,Pilot Knob city,Iron County,682,37.6229,-90.644795
MO,Pine Lawn city,St. Louis County,2683,38.695274,-90.275629
MO,Pineville city,McDonald County,826,36.575504,-94.391543
MO,Plato village,Texas County,90,37.50163,-92.218398
MO,Platte City city,Platte County,4828,39.359733,-94.756317
MO,Platte Woods city,Platte County,393,39.228892,-94.652121
MO,Plattsburg city,Clinton County,2240,39.554166,-94.463355
MO,Pleasant Hill city,Cass County,8679,38.805966,-94.272283
MO,Pleasant Hope city,Polk County,685,37.465315,-93.274361
MO,Pleasant Valley city,Clay County,2726,39.217175,-94.48094
MO,Pocahontas town,Cape Girardeau County,94,37.50161,-89.639849
MO,Pollock village,Sullivan County,46,40.358357,-93.08373
MO,Polo city,Caldwell County,508,39.551711,-94.035984
MO,Poplar Bluff city,Butler County,16132,36.763259,-90.413953
MO,Portage Des Sioux city,St. Charles County,325,38.92997,-90.34067
MO,Portageville city,New Madrid County,2764,36.429467,-89.699336
MO,Potosi city,Washington County,2540,37.933739,-90.775033
MO,Powersville village,Putnam County,43,40.549811,-93.299658
MO,Prairie Home city,Cooper County,263,38.813596,-92.59061
MO,Prathersville village,Clay County,121,39.315312,-94.273806
MO,Preston village,Hickory County,167,37.940963,-93.212707
MO,Princeton city,Mercer County,988,40.396332,-93.58877
MO,Purcell city,Jasper County,318,37.243297,-94.439445
MO,Purdin city,Linn County,140,39.95018,-93.164536
MO,Purdy city,Barry County,1049,36.818772,-93.920574
MO,Puxico city,Stoddard County,861,36.950544,-90.158831
MO,Queen City city,Schuyler County,559,40.411775,-92.566678
MO,Qulin city,Butler County,468,36.595255,-90.246295
MO,Randolph village,Clay County,58,39.156068,-94.493125
MO,Ravenwood town,Nodaway County,420,40.352414,-94.67214
MO,Raymondville town,Texas County,368,37.339785,-91.836469
MO,Raymore city,Cass County,25306,38.803303,-94.45832
MO,Raytown city,Jackson County,29097,38.994274,-94.461511
MO,Rea city,Andrew County,49,40.060961,-94.764441
MO,Redings Mill village,Newton County,164,37.019968,-94.516546
MO,Reeds Spring city,Stone County,1242,36.739264,-93.380568
MO,Reeds town,Jasper County,92,37.11647,-94.168242
MO,Renick village,Randolph County,150,39.343058,-92.409814
MO,Rensselaer village,Ralls County,252,39.669797,-91.540363
MO,Republic city,Greene County,20144,37.168552,-93.413061
MO,Revere town,Clark County,75,40.49437,-91.676299
MO,Rhineland town,Montgomery County,139,38.72273,-91.517369
MO,Rich Hill city,Bates County,1247,38.095871,-94.363462
MO,Richards town,Vernon County,43,37.909964,-94.557493
MO,Richland city,Pulaski County,1736,37.861142,-92.399744
MO,Richmond Heights city,St. Louis County,9058,38.630927,-90.333203
MO,Richmond city,Ray County,5958,39.27545,-93.972584
MO,Ridgely village,Platte County,104,39.453611,-94.64034
MO,Ridgeway city,Harrison County,378,40.377823,-93.937845
MO,Risco city,New Madrid County,265,36.551667,-89.818654
MO,Ritchey town,Newton County,67,36.944031,-94.185792
MO,River Bend village,Jackson County,5,39.179102,-94.388093
MO,Riverside city,Platte County,4417,39.172175,-94.632499
MO,Riverview Estates village,Cass County,74,38.748856,-94.524603
MO,Riverview village,St. Louis County,2327,38.744155,-90.211104
MO,Rives town,Dunklin County,41,36.094462,-90.011461
MO,Rocheport city,Boone County,210,38.978176,-92.563518
MO,Rock Hill city,St. Louis County,4649,38.609052,-90.367299
MO,Rock Port city,Atchison County,1227,40.410911,-95.533087
MO,Rockaway Beach city,Taney County,827,36.702999,-93.158213
MO,Rockville city,Bates County,140,38.072482,-94.080446
MO,Rogersville city,Webster County,5087,37.114847,-93.074686
MO,Rolla city,Phelps County,20423,37.94594,-91.761202
MO,Roscoe village,St. Clair County,95,37.976643,-93.817473
MO,Rosebud city,Gasconade County,396,38.384762,-91.402961
MO,Rosendale city,Andrew County,120,40.040696,-94.823239
MO,Rothville village,Chariton County,65,39.654745,-93.061105
MO,Rush Hill village,Audrain County,100,39.210012,-91.725162
MO,Rushville village,Buchanan County,217,39.587399,-95.023759
MO,Russellville city,Cole County,791,38.512348,-92.439169
MO,Rutledge town,Scotland County,83,40.313983,-92.087587
MO,Saddlebrooke village,Christian County,318,36.825602,-93.203421
MO,Saginaw village,Newton County,318,37.024373,-94.475223
MO,Salem city,Dent County,4713,37.639568,-91.53486
MO,Salisbury city,Chariton County,1567,39.423327,-92.802424
MO,Sarcoxie city,Jasper County,1389,37.068541,-94.125438
MO,Savannah city,Andrew County,5072,39.938789,-94.828049
MO,Schell City city,Vernon County,226,38.019149,-94.116772
MO,Scotsdale town,Jefferson County,197,38.394601,-90.589767
MO,Scott City city,Scott County,4348,37.22453,-89.537647
MO,Sedalia city,Pettis County,22086,38.706048,-93.234498
MO,Sedgewickville village,Bollinger County,188,37.514614,-89.906018
MO,Seligman city,Barry County,881,36.523399,-93.938989
MO,Senath city,Dunklin County,1519,36.134005,-90.161358
