state,county,cbsa_code,cbsa_title,cbsa_population
GA,Oglethorpe County,12020,"Athens-Clarke County, GA",222060
GA,Paulding County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Peach County,47580,"Warner Robins, GA",200779
GA,Pickens County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Pike County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Richmond County,12260,"Augusta-Richmond County, GA-SC",629429
GA,Rockdale County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Spalding County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Stewart County,17980,"Columbus, GA-AL",323768
GA,Talbot County,17980,"Columbus, GA-AL",323768
GA,Terrell County,10500,"Albany, GA",145508
GA,Twiggs County,31420,"Macon-Bibb County, GA",236074
GA,Walker County,16860,"Chattanooga, TN-GA",580971
GA,Walton County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Whitfield County,19140,"Dalton, GA",144722
GA,Worth County,10500,"Albany, GA",145508
HI,Honolulu County,46520,"Urban Honolulu, HI",989408
HI,Kalawao County,27980,"Kahului-Wailuku, HI",164264
HI,Maui County,27980,"Kahului-Wailuku, HI",164264
IA,Benton County,16300,"Cedar Rapids, IA",275668
IA,Black Hawk County,47940,"Waterloo-Cedar Falls, IA",168162
IA,Boone County,11180,"Ames, IA",125156
IA,Bremer County,47940,"Waterloo-Cedar Falls, IA",168162
IA,Dallas County,19780,"Des Moines-West Des Moines, IA",737164
IA,Dubuque County,20220,"Dubuque, IA",98887
IA,Grundy County,47940,"Waterloo-Cedar Falls, IA",168162
IA,Guthrie County,19780,"Des Moines-West Des Moines, IA",737164
IA,Harrison County,36540,"Omaha, NE-IA",983969
IA,Jasper County,19780,"Des Moines-West Des Moines, IA",737164
IA,Johnson County,26980,"Iowa City, IA",180088
IA,Jones County,16300,"Cedar Rapids, IA",275668
IA,Linn County,16300,"Cedar Rapids, IA",275668
IA,Madison County,19780,"Des Moines-West Des Moines, IA",737164
IA,Mills County,36540,"Omaha, NE-IA",983969
IA,Polk County,19780,"Des Moines-West Des Moines, IA",737164
IA,Pottawattamie County,36540,"Omaha, NE-IA",983969
IA,Scott County,19340,"Davenport-Moline-Rock Island, IA-IL",379441
IA,Story County,11180,"Ames, IA",125156
IA,Warren County,19780,"Des Moines-West Des Moines, IA",737164
IA,Washington County,26980,"Iowa City, IA",180088
IA,Woodbury County,43580,"Sioux City, IA-NE-SD",144402
ID,Ada County,14260,"Boise City, ID",824657
ID,Bannock County,38540,"Pocatello, ID",90400
