state,county,cbsa_code,cbsa_title,cbsa_population
VA,Loudoun County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Lynchburg city,31340,"Lynchburg, VA",264590
VA,Manassas Park city,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Manassas city,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Mathews County,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Montgomery County,13980,"Blacksburg-Christiansburg-Radford, VA",181428
VA,Nelson County,16820,"Charlottesville, VA",225127
VA,New Kent County,40060,"Richmond, VA",1349732
VA,Newport News city,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Norfolk city,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Petersburg city,40060,"Richmond, VA",1349732
VA,Poquoson city,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Portsmouth city,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Powhatan County,40060,"Richmond, VA",1349732
VA,Prince George County,40060,"Richmond, VA",1349732
VA,Prince William County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Pulaski County,13980,"Blacksburg-Christiansburg-Radford, VA",181428
VA,Radford city,13980,"Blacksburg-Christiansburg-Radford, VA",181428
VA,Rappahannock County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Richmond city,40060,"Richmond, VA",1349732
VA,Roanoke County,40220,"Roanoke, VA",314314
VA,Roanoke city,40220,"Roanoke, VA",314314
VA,Rockingham County,25500,"Harrisonburg, VA",137650
VA,Salem city,40220,"Roanoke, VA",314314
VA,Scott County,28700,"Kingsport-Bristol, TN-VA",313025
VA,Spotsylvania County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Stafford County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Staunton city,44420,"Staunton-Stuarts Draft, VA",127344
VA,Suffolk city,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Surry County,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Sussex County,40060,"Richmond, VA",1349732
VA,Virginia Beach city,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Warren County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
VA,Washington County,28700,"Kingsport-Bristol, TN-VA",313025
VA,Waynesboro city,44420,"Staunton-Stuarts Draft, VA",127344
VA,Williamsburg city,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VA,Winchester city,49020,"Winchester, VA-WV",147260
VA,York County,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
VT,Chittenden County,15540,"Burlington-South Burlington, VT",227942
VT,Franklin County,15540,"Burlington-South Burlington, VT",227942
VT,Grand Isle County,15540,"Burlington-South Burlington, VT",227942
WA,Asotin County,30300,"Lewiston, ID-WA",65536
WA,Benton County,28420,"Kennewick-Richland, WA",314253
WA,Chelan County,48300,"Wenatchee-East Wenatchee, WA",124795
WA,Clark County,38900,"Portland-Vancouver-Hillsboro, OR-WA",2508050
WA,Cowlitz County,31020,"Longview-Kelso, WA",112864
WA,Douglas County,48300,"Wenatchee-East Wenatchee, WA",124795
WA,Franklin County,28420,"Kennewick-Richland, WA",314253
WA,King County,42660,"Seattle-Tacoma-Bellevue, WA",4044837
WA,Kitsap County,14740,"Bremerton-Silverdale-Port Orchard, WA",277658
WA,Pierce County,42660,"Seattle-Tacoma-Bellevue, WA",4044837
WA,Skagit County,34580,"Mount Vernon-Anacortes, WA",131417
WA,Skamania County,38900,"Portland-Vancouver-Hillsboro, OR-WA",2508050
WA,Snohomish County,42660,"Seattle-Tacoma-Bellevue, WA",4044837
WA,Spokane County,44060,"Spokane-Spokane Valley, WA",600292
WA,Stevens County,44060,"Spokane-Spokane Valley, WA",600292
WA,Thurston County,36500,"Olympia-Lacey-Tumwater, WA",299003
WA,Walla Walla County,47460,"Walla Walla, WA",61568
WA,Whatcom County,13380,"Bellingham, WA",231919
WA,Yakima County,49420,"Yakima, WA",256643
WI,Brown County,24580,"Green Bay, WI",331882
WI,Calumet County,11540,"Appleton, WI",246433
WI,Chippewa County,20740,"Eau Claire, WI",174873
WI,Columbia County,31540,"Madison, WI",694345
WI,Dane County,31540,"Madison, WI",694345
WI,Douglas County,20260,"Duluth, MN-WI",281603
WI,Eau Claire County,20740,"Eau Claire, WI",174873
WI,Fond du Lac County,22540,"Fond du Lac, WI",103948
WI,Green County,31540,"Madison, WI",694345
WI,Iowa County,31540,"Madison, WI",694345
WI,Kenosha County,28450,"Kenosha, WI",167488
WI,Kewaunee County,24580,"Green Bay, WI",331882
WI,La Crosse County,29100,"La Crosse-Onalaska, WI-MN",170238
WI,Marathon County,48140,"Wausau, WI",138612
WI,Milwaukee County,33340,"Milwaukee-Waukesha, WI",1560424
WI,Oconto County,24580,"Green Bay, WI",331882
WI,Outagamie County,11540,"Appleton, WI",246433
WI,Ozaukee County,33340,"Milwaukee-Waukesha, WI",1560424
WI,Pierce County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
WI,Racine County,39540,"Racine-Mount Pleasant, WI",196613
WI,Rock County,27500,"Janesville-Beloit, WI",164278
WI,Sheboygan County,43100,"Sheboygan, WI",117752
WI,St. Croix County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
WI,Vernon County,29100,"La Crosse-Onalaska, WI-MN",170238
WI,Washington County,33340,"Milwaukee-Waukesha, WI",1560424
WI,Waukesha County,33340,"Milwaukee-Waukesha, WI",1560424
WI,Winnebago County,36780,"Oshkosh-Neenah, WI",171735
WV,Berkeley County,25180,"Hagerstown-Martinsburg, MD-WV",305902
WV,Boone County,16620,"Charleston, WV",203164
WV,Brooke County,48260,"Weirton-Steubenville, WV-OH",113544
WV,Cabell County,26580,"Huntington-Ashland, WV-KY-OH",368261
WV,Clay County,16620,"Charleston, WV",203164
WV,Fayette County,13220,"Beckley, WV",111428
WV,Hampshire County,49020,"Winchester, VA-WV",147260
WV,Hancock County,48260,"Weirton-Steubenville, WV-OH",113544
WV,Jefferson County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
WV,Kanawha County,16620,"Charleston, WV",203164
WV,Marshall County,48540,"Wheeling, WV-OH",135517
WV,Monongalia County,34060,"Morgantown, WV",141817
WV,Morgan County,25180,"Hagerstown-Martinsburg, MD-WV",305902
WV,Ohio County,48540,"Wheeling, WV-OH",135517
WV,Preston County,34060,"Morgantown, WV",141817
WV,Putnam County,26580,"Huntington-Ashland, WV-KY-OH",368261
WV,Raleigh County,13220,"Beckley, WV",111428
WV,Wayne County,26580,"Huntington-Ashland, WV-KY-OH",368261
WV,Wirt County,37620,"Parkersburg-Vienna, WV",88052
WV,Wood County,37620,"Parkersburg-Vienna, WV",88052
WY,Laramie County,16940,"Cheyenne, WY",100984
WY,Natrona County,16220,"Casper, WY",79941
