state,county,population
TX,Harris County,4835125
TX,Harrison County,70895
TX,Hartley County,5145
TX,Haskell County,5385
TX,Hays County,280486
TX,Hemphill County,3189
TX,Henderson County,86158
TX,Hidalgo County,898471
TX,Hill County,38101
TX,Hockley County,21460
TX,Hood County,67774
TX,Hopkins County,38172
TX,Houston County,22066
TX,Howard County,30554
TX,Hudspeth County,3451
TX,Hunt County,113347
TX,Hutchinson County,20033
TX,Irion County,1549
TX,Jack County,8875
TX,Jackson County,15221
TX,Jasper County,32694
TX,Jeff Davis County,1856
TX,Jefferson County,251496
TX,Jim Hogg County,4720
TX,Jim Wells County,38662
TX,Johnson County,202906
TX,Jones County,20381
TX,Karnes County,15018
TX,Kaufman County,185690
TX,Kendall County,50537
TX,Kenedy County,343
TX,Kent County,734
TX,Kerr County,53915
TX,Kimble County,4442
TX,King County,217
TX,Kinney County,3148
TX,Kleberg County,30069
TX,Knox County,3302
TX,La Salle County,6537
TX,Lamar County,51127
TX,Lamb County,12711
TX,Lampasas County,23262
TX,Lavaca County,20571
TX,Lee County,18240
TX,Leon County,16538
TX,Liberty County,108272
TX,Limestone County,22250
TX,Lipscomb County,2906
TX,Live Oak County,11584
TX,Llano County,22875
TX,Loving County,43
TX,Lubbock County,320940
TX,Lynn County,5761
TX,Madison County,13742
TX,Marion County,9571
TX,Martin County,5216
TX,Mason County,3931
TX,Matagorda County,36359
TX,Maverick County,57762
TX,McCulloch County,7452
TX,McLennan County,268583
TX,McMullen County,568
TX,Medina County,54797
TX,Menard County,1958
TX,Midland County,177108
TX,Milam County,25951
TX,Mills County,4548
TX,Mitchell County,9075
TX,Montague County,21598
TX,Montgomery County,711354
TX,Moore County,21190
TX,Morris County,12066
TX,Motley County,1020
TX,Nacogdoches County,65375
TX,Navarro County,55635
TX,Newton County,12039
TX,Nolan County,14306
TX,Nueces County,352289
TX,Ochiltree County,9704
TX,Oldham County,1783
TX,Orange County,85722
TX,Palo Pinto County,29747
TX,Panola County,22838
TX,Parker County,173494
TX,Parmer County,9617
TX,Pecos County,14623
TX,Polk County,54186
TX,Potter County,114647
TX,Presidio County,5795
TX,Rains County,12986
TX,Randall County,148255
TX,Reagan County,3141
TX,Real County,2854
TX,Red River County,11678
TX,Reeves County,11770
TX,Refugio County,6666
TX,Roberts County,840
TX,Robertson County,17267
TX,Rockwall County,131307
TX,Runnels County,9868
TX,Rusk County,53079
TX,Sabine County,10106
TX,San Augustine County,7833
TX,San Jacinto County,28936
TX,San Patricio County,70660
TX,San Saba County,5845
TX,Schleicher County,2391
TX,Scurry County,16212
TX,Shackelford County,3229
TX,Shelby County,24179
TX,Sherman County,2678
TX,Smith County,245209
TX,Somervell County,9888
TX,Starr County,65934
TX,Stephens County,9343
TX,Sterling County,1397
TX,Stonewall County,1218
TX,Sutton County,3221
TX,Swisher County,6955
TX,Tarrant County,2182947
TX,Taylor County,146836
TX,Terrell County,687
TX,Terry County,11547
TX,Throckmorton County,1526
TX,Titus County,31357
TX,Tom Green County,119057
TX,Travis County,1334961
TX,Trinity County,14228
TX,Tyler County,20382
TX,Upshur County,43281
TX,Upton County,3109
TX,Uvalde County,24960
TX,Val Verde County,47720
TX,Van Zandt County,64000
TX,Victoria County,91664
TX,Walker County,81268
TX,Waller County,63553
TX,Ward County,10966
TX,Washington County,37007
TX,Webb County,269148
TX,Wharton County,41739
TX,Wheeler County,4804
TX,Wichita County,130180
TX,Wilbarger County,12522
TX,Willacy County,20037
TX,Williamson County,697191
TX,Wilson County,54183
TX,Winkler County,7414
TX,Wise County,78097
TX,Wood County,47921
TX,Yoakum County,7468
TX,Young County,18124
TX,Zapata County,13736
TX,Zavala County,9312
UT,Beaver County,7233
UT,Box Elder County,62684
UT,Cache County,142393
UT,Carbon County,20609
UT,Daggett County,992
UT,Davis County,373207
UT,Duchesne County,20477
UT,Emery County,10144
UT,Garfield County,5314
UT,Grand County,9706
UT,Iron County,64211
UT,Juab County,13023
UT,Kane County,8425
UT,Millard County,13437
UT,Morgan County,13000
UT,Piute County,1550
UT,Rich County,2670
UT,Salt Lake County,1185813
UT,San Juan County,14358
UT,Sanpete County,30277
UT,Sevier County,22344
UT,Summit County,42759
UT,Tooele County,82051
UT,Uintah County,37747
UT,Utah County,719174
UT,Wasatch County,37144
UT,Washington County,202452
UT,Wayne County,2614
UT,Weber County,271926
VA,Accomack County,33239
VA,Albemarle County,115676
VA,Alexandria city,155230
VA,Alleghany County,14595
VA,Amelia County,13480
VA,Amherst County,31396
VA,Appomattox County,16864
VA,Arlington County,234162
VA,Augusta County,78247
VA,Bath County,4051
VA,Bedford County,81525
VA,Bland County,6179
VA,Botetourt County,34125
VA,Bristol city,16807
VA,Brunswick County,15749
VA,Buchanan County,19087
VA,Buckingham County,16978
VA,Buena Vista city,6566
VA,Campbell County,55270
VA,Caroline County,32640
VA,Carroll County,29239
VA,Charles City County,6610
VA,Charlotte County,11336
VA,Charlottesville city,44983
VA,Chesapeake city,253886
VA,Chesterfield County,383876
VA,Clarke County,15466
VA,Colonial Heights city,18393
VA,Covington city,5545
VA,Craig County,4843
VA,Culpeper County,54973
VA,Cumberland County,9878
VA,Danville city,41837
VA,Dickenson County,13640
VA,Dinwiddie County,28343
VA,Emporia city,5463
VA,Essex County,10598
VA,Fairfax County,1141878
VA,Fairfax city,25144
VA,Falls Church city,14685
VA,Fauquier County,75165
VA,Floyd County,15679
VA,Fluvanna County,28462
VA,Franklin County,55549
VA,Franklin city,8339
VA,Frederick County,95994
VA,Fredericksburg city,28928
VA,Galax city,6717
VA,Giles County,16457
VA,Gloucester County,40057
VA,Goochland County,27197
VA,Grayson County,15285
VA,Greene County,21301
VA,Greensville County,11133
VA,Halifax County,33432
VA,Hampton city,137098
VA,Hanover County,114148
VA,Harrisonburg city,51082
VA,Henrico County,334760
VA,Henry County,49702
VA,Highland County,2339
VA,Hopewell city,22752
VA,Isle of Wight County,40711
VA,James City County,82654
VA,King George County,28568
VA,King William County,19030
VA,King and Queen County,6720
VA,Lancaster County,10859
VA,Lee County,21745
VA,Lexington city,7528
VA,Loudoun County,436347
VA,Louisa County,41037
VA,Lunenburg County,12038
VA,Lynchburg city,79535
VA,Madison County,14128
VA,Manassas Park city,16361
VA,Manassas city,42696
VA,Martinsville city,13763
VA,Mathews County,8514
VA,Mecklenburg County,30648
VA,Middlesex County,10924
VA,Montgomery County,98666
VA,Nelson County,14705
VA,New Kent County,26134
VA,Newport News city,183118
VA,Norfolk city,230930
VA,Northampton County,12021
VA,Northumberland County,12391
VA,Norton city,3492
VA,Nottoway County,15566
VA,Orange County,38574
VA,Page County,23741
VA,Patrick County,17509
VA,Petersburg city,33309
VA,Pittsylvania County,59571
VA,Poquoson city,12635
VA,Portsmouth city,96793
VA,Powhatan County,32105
VA,Prince Edward County,22049
VA,Prince George County,42871
VA,Prince William County,489640
VA,Pulaski County,33655
VA,Radford city,16971
VA,Rappahannock County,7414
VA,Richmond County,9184
VA,Richmond city,229247
VA,Roanoke County,97026
VA,Roanoke city,97171
VA,Rockbridge County,22358
VA,Rockingham County,86568
VA,Russell County,25477
VA,Salem city,25600
VA,Scott County,21433
VA,Shenandoah County,45228
VA,Smyth County,29216
VA,Southampton County,17975
VA,Spotsylvania County,149588
VA,Stafford County,165428
VA,Staunton city,25915
VA,Suffolk city,100659
VA,Surry County,6593
VA,Sussex County,10757
VA,Tazewell County,39120
VA,Virginia Beach city,453649
VA,Warren County,41843
VA,Washington County,54050
VA,Waynesboro city,23182
VA,Westmoreland County,19013
VA,Williamsburg city,15847
VA,Winchester city,27617
VA,Wise County,35174
VA,Wythe County,28104
VA,York County,70952
VT,Addison County,37720
VT,Bennington County,37183
VT,Caledonia County,30610
VT,Chittenden County,169481
VT,Essex County,6010
VT,Franklin County,50994
VT,Grand Isle County,7467
VT,Lamoille County,26060
VT,Orange County,29943
VT,Orleans County,27516
VT,Rutland County,60271
VT,Washington County,60142
VT,Windham County,45966
VT,Windsor County,58101
WA,Adams County,20820
WA,Asotin County,22549
WA,Benton County,215219
WA,Chelan County,79997
WA,Clallam County,77616
WA,Clark County,521150
WA,Columbia County,4053
WA,Cowlitz County,112864
WA,Douglas County,44798
WA,Ferry County,7497
WA,Franklin County,99034
WA,Garfield County,2363
WA,Grant County,102678
WA,Grays Harbor County,77290
WA,Island County,86267
WA,Jefferson County,33714
WA,King County,2271380
WA,Kitsap County,277658
WA,Kittitas County,45508
WA,Klickitat County,23589
WA,Lewis County,86154
WA,Lincoln County,11738
WA,Mason County,68389
WA,Okanogan County,43712
WA,Pacific County,24200
WA,Pend Oreille County,14361
WA,Pierce County,928696
WA,San Juan County,18566
WA,Skagit County,131417
WA,Skamania County,12640
WA,Snohomish County,844761
WA,Spokane County,551455
WA,Stevens County,48837
WA,Thurston County,299003
WA,Wahkiakum County,4765
WA,Walla Walla County,61568
WA,Whatcom County,231919
WA,Whitman County,48012
WA,Yakima County,256643
WI,Adams County,21449
WI,Ashland County,16079
WI,Barron County,46833
WI,Bayfield County,16769
WI,Brown County,271417
WI,Buffalo County,13419
WI,Burnett County,17092
WI,Calumet County,53199
WI,Chippewa County,66970
WI,Clark County,34774
WI,Columbia County,58091
WI,Crawford County,15944
WI,Dane County,575347
WI,Dodge County,88231
WI,Door County,30562
WI,Douglas County,44264
WI,Dunn County,45794
WI,Eau Claire County,107903
WI,Florence County,4682
WI,Fond du Lac County,103948
WI,Forest County,9325
WI,Grant County,51409
WI,Green County,36951
WI,Green Lake County,19344
WI,Iowa County,23956
WI,Iron County,6228
WI,Jackson County,20855
WI,Jefferson County,85743
WI,Juneau County,26594
WI,Kenosha County,167488
WI,Kewaunee County,20690
WI,La Crosse County,120486
WI,Lafayette County,16945
WI,Langlade County,19404
WI,Lincoln County,28405
WI,Manitowoc County,81331
WI,Marathon County,138612
WI,Marinette County,42106
WI,Marquette County,15838
WI,Menominee County,4226
WI,Milwaukee County,916205
WI,Monroe County,46151
WI,Oconto County,39775
WI,Oneida County,38226
WI,Outagamie County,193234
WI,Ozaukee County,93460
WI,Pepin County,7441
WI,Pierce County,43026
WI,Polk County,45762
WI,Portage County,71024
WI,Price County,14102
WI,Racine County,196613
WI,Richland County,17197
WI,Rock County,164278
WI,Rusk County,14143
WI,Sauk County,65920
WI,Sawyer County,18552
WI,Shawano County,41109
WI,Sheboygan County,117752
WI,St. Croix County,96763
WI,Taylor County,20058
WI,Trempealeau County,30899
WI,Vernon County,31170
WI,Vilas County,23885
WI,Walworth County,105822
WI,Washburn County,16930
WI,Washington County,138168
WI,Waukesha County,412591
WI,Waupaca County,51388
WI,Waushara County,24934
WI,Winnebago County,171735
WI,Wood County,73939
WV,Barbour County,15378
WV,Berkeley County,132440
WV,Boone County,20576
WV,Braxton County,12162
WV,Brooke County,21373
WV,Cabell County,92082
WV,Calhoun County,5959
WV,Clay County,7783
WV,Doddridge County,7680
WV,Fayette County,39072
WV,Gilmer County,7254
WV,Grant County,10921
WV,Greenbrier County,32149
WV,Hampshire County,23649
WV,Hancock County,28145
WV,Hardy County,14251
WV,Harrison County,64639
WV,Jackson County,27593
WV,Jefferson County,59787
WV,Kanawha County,174805
WV,Lewis County,16500
WV,Lincoln County,19701
WV,Logan County,30827
WV,Marion County,55807
WV,Marshall County,29405
WV,Mason County,24765
WV,McDowell County,17439
WV,Mercer County,58057
WV,Mineral County,26867
WV,Mingo County,22023
WV,Monongalia County,107718
WV,Monroe County,12382
WV,Morgan County,17649
WV,Nicholas County,24169
WV,Ohio County,41194
WV,Pendleton County,6029
WV,Pleasants County,7428
WV,Pocahontas County,7765
WV,Preston County,34099
WV,Putnam County,56962
WV,Raleigh County,72356
WV,Randolph County,27350
WV,Ritchie County,8167
WV,Roane County,13743
WV,Summers County,11581
WV,Taylor County,16388
WV,Tucker County,6604
WV,Tyler County,7919
WV,Upshur County,23529
WV,Wayne County,37686
WV,Webster County,8045
WV,Wetzel County,13890
WV,Wirt County,5000
WV,Wood County,83052
WV,Wyoming County,20277
WY,Albany County,38257
WY,Big Horn County,12018
WY,Campbell County,47498
WY,Carbon County,14334
WY,Converse County,13809
WY,Crook County,7592
WY,Fremont County,39815
WY,Goshen County,12642
WY,Hot Springs County,4661
WY,Johnson County,8759
WY,Laramie County,100984
WY,Lincoln County,20880
WY,Natrona County,79941
WY,Niobrara County,2354
WY,Park County,30735
WY,Platte County,8546
WY,Sheridan County,32519
WY,Sublette County,8969
WY,Sweetwater County,41249
WY,Teton County,23232
WY,Uinta County,20745
WY,Washakie County,7710
WY,Weston County,6808
