name,latitude,longitude,kind,shown_in_map,description,municipality,state
Top Secret East Region,38.9696,-77.3861,CSP data center,Shown in map,"Region: Top Secret East Region
Location: Herndon, VA",Herndon,VA
Top Secret West Region,39.7392,-104.9903,CSP data center,Shown in map,"Region: Top Secret West Region
Location: Denver, CO",Denver,CO
