name,latitude,longitude
"Dulles, VA",38.9531,-77.4565
"Fredericksburg, VA",38.3032,-77.4605
"Manassas, VA",38.7509,-77.4753
"Virginia Beach, VA",36.8529,-75.9780
"Colorado Springs, CO",38.8339,-104.8214
