name,latitude,longitude,kind,shown_in_map,description
Kalispell,48.196,-114.314,ROADM,Not shown in map,
"Great Falls, MT",47.507,-111.300,ROADM,Not shown in map,
Helena,46.589,-112.039,ROADM,Not shown in map,
Havre,48.550,-109.684,ROADM,Not shown in map,
Bozeman,45.677,-111.043,ROADM,Not shown in map,
Billings,45.787,-108.500,ROADM,Not shown in map,
Miles City,46.408,-105.840,ROADM,Not shown in map,
