name,latitude,longitude,kind,shown_in_map,description,municipality,state
AWS Secret West Region,33.4484,-112.074,CSP data center,Shown in map,"Layer: Secret regions for cloud service providers
Provider: AWS
Region: Secret West Region
Location: Phoenix, AZ",Phoenix,AZ
AWS Secret East Region,39.9612,-82.9988,CSP data center,Shown in map,"Layer: Secret regions for cloud service providers
Provider: AWS
Region: Secret East Region
Location: Columbus, OH",Columbus,OH
AWS GovCloud West,45.8396,-119.7006,CSP data center,Shown in map,"Region: AWS GovCloud West
Location: Boardman, OR",Boardman,OR
AWS GovCloud East,39.9612,-82.9988,CSP data center,Shown in map,"Region: AWS GovCloud East
Location: Columbus, OH",Columbus,OH
Top Secret East Region,38.9696,-77.3861,CSP data center,Shown in map,"Region: Top Secret East Region
Location: Herndon, VA",Herndon,VA
Top Secret West Region,39.7392,-104.9903,CSP data center,Shown in map,"Region: Top Secret West Region
Location: Denver, CO",Denver,CO
