name,role
"Bandon, OR",roadm
"Missoula, MT",roadm
"Birmingham, AL",roadm
"Augusta, GA",roadm
"Wall, NJ",roadm
"Tuckerton, NJ",roadm
"Norfolk, VA",roadm
"Oklahoma City, OK",roadm
"Fort Meyers, FL",roadm
