name,latitude,longitude,tenant,kind,shown_in_map,description
OCI Secret West Region,32.7555,-97.3308,OCI,CSP data center,Shown in map,"Layer: Secret regions for cloud service providers
Provider: OCI
Region: Secret West Region
Location: Fort Worth, TX"
Azure Secret West Region,29.4241,-98.4936,Azure,CSP data center,Shown in map,"Layer: Secret regions for cloud service providers
Provider: Azure
Region: Secret West Region
Location: San Antonio, TX"
AWS Secret East Region,39.9612,-82.9988,AWS,CSP data center,Shown in map,"Layer: Secret regions for cloud service providers
Provider: AWS
Region: Secret East Region
Location: Columbus, OH"
Azure Secret East Region,38.7509,-77.4753,Azure,CSP data center,Shown in map,"Layer: Secret regions for cloud service providers
Provider: Azure
Region: Secret East Region
Location: Manassas, VA"
OCI Secret East Region,39.0438,-77.4874,OCI,CSP data center,Shown in map,"Layer: Secret regions for cloud service providers
Provider: OCI
Region: Secret East Region
Location: Ashburn, VA"
"South Bend, IN",41.6764,-86.25,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Kalamazoo, MI",42.2917,-85.5872,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Boise, ID",43.615,-116.2023,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Missoula, MT",46.8721,-113.9966,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Sacramento, CA",38.5816,-121.4944,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Modesto, CA",37.6391,-120.9969,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"McLean, VA",38.9339,-77.1773,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"New York, NY",40.7128,-74.006,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Stamford, CT",41.0534,-73.5387,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Philadelphia, PA",39.9526,-75.1652,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Wall, NJ",40.1654,-74.0665,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tuckerton, NJ",39.6032,-74.3402,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Ashburn, VA",39.0438,-77.4875,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Baltimore, MD",39.2904,-76.6122,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Boston, MA",42.3601,-71.0589,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"San Luis Obispo, CA",35.2828,-120.6596,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Los Angeles, CA",34.0522,-118.2437,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"San Francisco, CA",37.7749,-122.4194,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"San Jose, CA",37.3382,-121.8863,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Sunnyvale, CA",37.3688,-122.0363,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Seattle, WA",47.6062,-122.3321,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Yakima, WA",46.6021,-120.5059,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Portland, OR",45.5152,-122.6765,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Bandon, OR",43.119,-124.4098,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Salt Lake City, UT",40.7608,-111.891,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Ogden, UT",41.223,-111.9738,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"El Paso, TX",31.7619,-106.485,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Albuquerque, NM",35.0844,-106.6504,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Las Vegas, NV",36.1699,-115.1398,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"San Bernadino, CA",34.1083,-117.2898,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"San Diego, CA",32.7157,-117.1611,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tustin, CA",33.7459,-117.8265,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Riverside, CA",33.9533,-117.3962,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Phoenix, AZ",33.4484,-112.074,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tucson, AZ",32.2226,-110.9747,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Cheyenne, WY",41.14,-104.8202,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Denver, CO",39.7392,-104.9903,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Fort Worth, TX",32.7555,-97.3308,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"San Antonio, TX",29.4241,-98.4936,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Laredo, TX",27.5306,-99.5075,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"McAllen, TX",26.2034,-98.23,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Corpus Christi, TX",27.8006,-97.3964,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
