Name,Municipality,State,Country,Latitude,Longitude,ExemptFromDistanceConstraint
Aviano,Aviano,,Italy,46.0703,12.5946,No
Naples,Naples,,Italy,40.8518,14.2681,No
Ramstein-Miesenbach,Ramstein-Miesenbach,,Germany,49.4447,7.5539,No
