Name,Municipality,State,Country,Latitude,Longitude
Moody AFB,Valdosta,GA,United States,30.9670,-83.1930
Mountain Home AFB,Mountain Home,ID,United States,43.0430,-115.8720
Naval Air Station Fallon,Fallon,NV,United States,39.4166,-118.7003
Naval Air Station Fort Worth JRB,Fort Worth,TX,United States,32.7690,-97.4410
Naval Air Station Jacksonville,Jacksonville,FL,United States,30.2360,-81.6800
Naval Air Station Key West,Key West,FL,United States,24.5760,-81.6890
Naval Air Station Kingsville,Kingsville,TX,United States,27.5070,-97.8090
Naval Air Station Lemoore,Lemoore,CA,United States,36.3330,-119.9520
Naval Air Station Meridian,Meridian,MS,United States,32.5520,-88.5560
Naval Air Station Oceana,Virginia Beach,VA,United States,36.8206,-76.0333
Naval Air Station Patuxent River,Lexington Park,MD,United States,38.2860,-76.4120
Naval Air Station Pensacola,Pensacola,FL,United States,30.3500,-87.3050
Naval Air Station Whidbey Island,Oak Harbor,WA,United States,48.3520,-122.6560
Naval Air Station Whiting Field,Milton,FL,United States,30.7240,-87.0210
Naval Air Weapons Station China Lake,Ridgecrest,CA,United States,35.6850,-117.6920
Naval Base Coronado,Coronado,CA,United States,32.6990,-117.2150
Naval Base Kitsap,Bremerton,WA,United States,47.7100,-122.7080
Naval Base San Diego,San Diego,CA,United States,32.6800,-117.1290
Naval Base Ventura County,Oxnard,CA,United States,34.1200,-119.1200
Naval Station Everett,Everett,WA,United States,47.9920,-122.2460
Naval Station Great Lakes,North Chicago,IL,United States,42.3100,-87.8400
Naval Station Mayport,Jacksonville,FL,United States,30.3920,-81.4240
Naval Station Norfolk,Norfolk,VA,United States,36.9460,-76.3120
Naval Submarine Base Kings Bay,St. Marys,GA,United States,30.7960,-81.5160
Naval Submarine Base New London,Groton,CT,United States,41.3960,-72.0870
Naval Support Activity Bethesda,Bethesda,MD,United States,39.0010,-77.0960
Nellis AFB,Las Vegas,NV,United States,36.2362,-115.0343
Offutt AFB,Omaha,NE,United States,41.1180,-95.9120
Patrick SFB,Cocoa Beach,FL,United States,28.2350,-80.6100
Peterson SFB,Colorado Springs,CO,United States,38.8230,-104.7000
Picatinny Arsenal,Dover,NJ,United States,40.9300,-74.5400
Portsmouth Naval Shipyard,Kittery,ME,United States,43.0790,-70.7430
Presidio of Monterey,Monterey,CA,United States,36.5970,-121.9180
Redstone Arsenal,Huntsville,AL,United States,34.6856,-86.6486
Robins AFB,Warner Robins,GA,United States,32.6400,-83.5919
Schofield Barracks,Wahiawa,HI,United States,21.4936,-158.0640
Schriever SFB,Colorado Springs,CO,United States,38.8030,-104.5260
Scott AFB,Belleville,IL,United States,38.5450,-89.8350
Seymour Johnson AFB,Goldsboro,NC,United States,35.3390,-77.9610
Shaw AFB,Sumter,SC,United States,33.9730,-80.4730
Sheppard AFB,Wichita Falls,TX,United States,33.9750,-98.4920
Tinker AFB,Midwest City,OK,United States,35.4147,-97.3866
Tobyhanna Army Depot,Tobyhanna,PA,United States,41.1900,-75.4200
Travis AFB,Fairfield,CA,United States,38.2627,-121.9270
Tyndall AFB,Panama City,FL,United States,30.0696,-85.5754
United States Air Force Academy,Colorado Springs,CO,United States,38.9980,-104.8610
United States Military Academy,West Point,NY,United States,41.3915,-73.9568
United States Naval Academy,Annapolis,MD,United States,38.9840,-76.4840
Vance AFB,Enid,OK,United States,36.3390,-97.9160
Vandenberg SFB,Lompoc,CA,United States,34.7420,-120.5724
White Sands Missile Range,Las Cruces,NM,United States,32.3784,-106.4844
Whiteman AFB,Knob Noster,MO,United States,38.7300,-93.5480
Wright-Patterson AFB,Dayton,OH,United States,39.8261,-84.0488
